,County,VAP,BVAP,EL12G_PR_D,EL12G_PR_R,OVAP,TOT_VOTES,factor,BVAP_pct,OVAP_pct,PRES12None,EL12G_PR_D_pct,EL12G_PR_R_pct,PRES12None_pct
66,37007,1513,237,281,596,1276,1513,1.0,0.1566424322538004,0.8433575677461996,636,0.18572372769332451,0.3939193654990086,0.4203569068076669
67,37007,1289,502,412,336,787,1289,1.0,0.3894491854150504,0.6105508145849495,541,0.31962761830876646,0.26066718386346005,0.4197051978277735
68,37007,1224,681,525,257,543,1224,1.0,0.5563725490196079,0.44362745098039214,442,0.42892156862745096,0.2099673202614379,0.3611111111111111
69,37007,1286,528,384,302,758,1286,1.0,0.4105754276827372,0.5894245723172629,600,0.2986003110419907,0.23483670295489892,0.4665629860031104
70,37009,930,3,142,372,927,930,1.0,0.0032258064516129032,0.9967741935483871,416,0.15268817204301074,0.4,0.44731182795698926
71,37009,710,2,126,296,708,710,1.0,0.0028169014084507044,0.9971830985915493,288,0.17746478873239438,0.4169014084507042,0.4056338028169014
72,37009,487,1,67,237,486,487,1.0,0.002053388090349076,0.997946611909651,183,0.1375770020533881,0.486652977412731,0.3757700205338809
73,37009,332,0,45,100,332,332,1.0,0.0,1.0,187,0.1355421686746988,0.30120481927710846,0.5632530120481928
74,37009,1439,0,241,538,1439,1439,1.0,0.0,1.0,660,0.1674774148714385,0.37387074357192496,0.4586518415566366
75,37009,2129,14,475,733,2115,2129,1.0,0.006575857209957727,0.9934241427900423,921,0.22310944105213715,0.3442930953499295,0.43259746359793333
76,37009,985,1,123,407,984,985,1.0,0.0010152284263959391,0.9989847715736041,455,0.12487309644670051,0.4131979695431472,0.4619289340101523
77,37009,535,0,92,130,535,535,1.0,0.0,1.0,313,0.17196261682242991,0.24299065420560748,0.5850467289719626
78,37009,585,2,89,229,583,585,1.0,0.003418803418803419,0.9965811965811966,267,0.15213675213675212,0.39145299145299145,0.4564102564102564
79,37009,200,1,31,68,199,200,1.0,0.005,0.995,101,0.155,0.34,0.505
80,37009,252,1,51,72,251,252,1.0,0.003968253968253968,0.996031746031746,129,0.20238095238095238,0.2857142857142857,0.5119047619047619
81,37009,500,1,88,200,499,500,1.0,0.002,0.998,212,0.176,0.4,0.424
82,37009,2094,11,393,868,2083,2094,1.0,0.0052531041069723014,0.9947468958930277,833,0.1876790830945559,0.4145176695319962,0.39780324737344797
83,37009,1122,4,220,468,1118,1122,1.0,0.0035650623885918,0.9964349376114082,434,0.19607843137254902,0.41711229946524064,0.3868092691622103
84,37009,2172,2,452,995,2170,2172,1.0,0.0009208103130755065,0.9990791896869244,725,0.20810313075506445,0.4581031307550645,0.3337937384898711
85,37009,3681,33,715,1213,3648,3681,1.0,0.008964955175224124,0.9910350448247759,1753,0.19424069546318934,0.3295300190165716,0.4762292855202391
86,37009,3827,41,766,1316,3786,3827,1.0,0.010713352495427228,0.9892866475045727,1745,0.20015678076822577,0.34387248497517636,0.45597073425659784
87,37011,320,0,32,162,320,320,1.0,0.0,1.0,126,0.1,0.50625,0.39375
88,37011,996,5,147,479,991,996,1.0,0.0050200803212851405,0.9949799196787149,370,0.14759036144578314,0.48092369477911645,0.3714859437751004
89,37011,547,0,50,250,547,547,1.0,0.0,1.0,247,0.09140767824497258,0.4570383912248629,0.4515539305301645
90,37011,2538,65,498,906,2473,2538,1.0,0.0256107171000788,0.9743892828999212,1134,0.19621749408983452,0.35697399527186763,0.44680851063829785
91,37011,501,4,34,164,497,501,1.0,0.007984031936127744,0.9920159680638723,303,0.06786427145708583,0.3273453093812375,0.6047904191616766
92,37011,365,0,31,219,365,365,1.0,0.0,1.0,115,0.08493150684931507,0.6,0.3150684931506849
93,37011,395,0,37,184,395,395,1.0,0.0,1.0,174,0.09367088607594937,0.46582278481012657,0.44050632911392407
94,37011,384,0,23,181,384,384,1.0,0.0,1.0,180,0.059895833333333336,0.4713541666666667,0.46875
95,37011,2709,577,116,383,2132,2709,1.0,0.2129937246216316,0.7870062753783684,2210,0.042820228866740494,0.14138058324104835,0.8157991878922112
96,37011,105,3,20,31,102,105,1.0,0.02857142857142857,0.9714285714285714,54,0.19047619047619047,0.29523809523809524,0.5142857142857142
97,37011,555,7,49,303,548,555,1.0,0.012612612612612612,0.9873873873873874,203,0.08828828828828829,0.5459459459459459,0.36576576576576575
98,37011,992,7,100,318,985,992,1.0,0.007056451612903226,0.9929435483870968,574,0.10080645161290322,0.32056451612903225,0.5786290322580645
99,37011,345,1,40,187,344,345,1.0,0.002898550724637681,0.9971014492753624,118,0.11594202898550725,0.5420289855072464,0.34202898550724636
100,37011,930,4,142,448,926,930,1.0,0.004301075268817204,0.9956989247311828,340,0.15268817204301074,0.4817204301075269,0.3655913978494624
101,37011,538,0,107,230,538,538,1.0,0.0,1.0,201,0.19888475836431227,0.4275092936802974,0.3736059479553903
102,37011,1031,2,230,586,1029,1031,1.0,0.0019398642095053346,0.9980601357904947,215,0.22308438409311349,0.5683802133850631,0.20853540252182348
