,COUNTYFP,VAP,NAME,WVAP,BVAP,HVAP,TRES14D,TRES14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,TRE14None,TRES14D_pct,TRES14R_pct,TRE14None_pct
97,55005,407,Chetek,391,3,6,63,88,7,407,1.0,0.9606879606879607,0.007371007371007371,0.014742014742014743,0.0171990171990172,256,0.1547911547911548,0.21621621621621623,0.628992628992629
98,55005,431,Chetek,427,0,2,64,86,2,431,1.0,0.9907192575406032,0.0,0.004640371229698376,0.004640371229698376,281,0.14849187935034802,0.19953596287703015,0.6519721577726219
99,55005,863,Chetek,857,1,2,183,273,3,863,1.0,0.9930475086906141,0.0011587485515643105,0.002317497103128621,0.0034762456546929316,407,0.21205098493626884,0.3163383545770568,0.4716106604866744
100,55005,548,Chetek,536,1,3,119,179,8,548,1.0,0.9781021897810219,0.0018248175182481751,0.005474452554744526,0.014598540145985401,250,0.21715328467153286,0.3266423357664234,0.4562043795620438
101,55005,654,Clinton,636,0,11,103,127,7,654,1.0,0.9724770642201835,0.0,0.016819571865443424,0.010703363914373088,424,0.15749235474006115,0.19418960244648317,0.6483180428134556
102,55005,618,Crystal Lake,603,0,9,133,142,6,618,1.0,0.9757281553398058,0.0,0.014563106796116505,0.009708737864077669,343,0.215210355987055,0.2297734627831715,0.5550161812297735
103,55005,394,Cumberland,372,1,9,92,82,12,394,1.0,0.9441624365482234,0.0025380710659898475,0.02284263959390863,0.030456852791878174,220,0.233502538071066,0.20812182741116753,0.5583756345177665
104,55005,441,Cumberland,435,0,1,92,80,5,441,1.0,0.9863945578231292,0.0,0.0022675736961451248,0.011337868480725623,269,0.20861678004535147,0.18140589569160998,0.6099773242630385
105,55005,462,Cumberland,439,3,11,98,86,9,462,1.0,0.9502164502164502,0.006493506493506494,0.023809523809523808,0.01948051948051948,278,0.21212121212121213,0.18614718614718614,0.6017316017316018
106,55005,425,Cumberland,411,0,7,94,82,7,425,1.0,0.9670588235294117,0.0,0.01647058823529412,0.01647058823529412,249,0.2211764705882353,0.19294117647058823,0.5858823529411765
107,55005,681,Cumberland,673,0,2,136,172,6,681,1.0,0.9882525697503671,0.0,0.002936857562408223,0.00881057268722467,373,0.19970631424375918,0.2525697503671072,0.5477239353891337
108,55005,328,Dallas,318,0,3,40,70,7,328,1.0,0.9695121951219512,0.0,0.009146341463414634,0.021341463414634148,218,0.12195121951219512,0.21341463414634146,0.6646341463414634
109,55005,427,Dallas,412,0,9,76,114,6,427,1.0,0.9648711943793911,0.0,0.02107728337236534,0.01405152224824356,237,0.17798594847775176,0.26697892271662765,0.5550351288056206
110,55005,637,Dovre,631,1,4,116,145,1,637,1.0,0.9905808477237049,0.0015698587127158557,0.006279434850863423,0.0015698587127158557,376,0.18210361067503925,0.22762951334379905,0.5902668759811617
111,55005,157,Doyle,153,0,3,29,53,1,157,1.0,0.9745222929936306,0.0,0.01910828025477707,0.006369426751592357,75,0.18471337579617833,0.3375796178343949,0.47770700636942676
112,55005,201,Doyle,200,1,0,37,68,0,201,1.0,0.9950248756218906,0.004975124378109453,0.0,0.0,96,0.18407960199004975,0.3383084577114428,0.47761194029850745
113,55005,219,Haugen,212,0,2,58,45,5,219,1.0,0.9680365296803652,0.0,0.0091324200913242,0.0228310502283105,116,0.2648401826484018,0.2054794520547945,0.5296803652968036
114,55005,152,Lakeland,151,0,1,34,40,0,152,1.0,0.993421052631579,0.0,0.006578947368421052,0.0,78,0.2236842105263158,0.2631578947368421,0.5131578947368421
115,55005,628,Lakeland,611,0,10,154,178,7,628,1.0,0.9729299363057324,0.0,0.01592356687898089,0.011146496815286623,296,0.24522292993630573,0.28343949044585987,0.4713375796178344
116,55005,467,Maple Grove,462,1,1,68,132,3,467,1.0,0.9892933618843683,0.0021413276231263384,0.0021413276231263384,0.006423982869379015,267,0.145610278372591,0.2826552462526767,0.5717344753747323
117,55005,269,Maple Grove,256,0,9,41,79,4,269,1.0,0.9516728624535316,0.0,0.03345724907063197,0.01486988847583643,149,0.1524163568773234,0.2936802973977695,0.5539033457249071
118,55005,610,Maple Plain,532,0,4,171,185,74,610,1.0,0.8721311475409836,0.0,0.006557377049180328,0.12131147540983607,254,0.28032786885245903,0.30327868852459017,0.4163934426229508
119,55005,11,New Auburn,9,0,0,3,0,2,11,1.0,0.8181818181818182,0.0,0.0,0.18181818181818182,8,0.2727272727272727,0.0,0.7272727272727273
121,55005,309,Oak Grove,303,0,5,73,84,1,309,1.0,0.9805825242718447,0.0,0.016181229773462782,0.003236245954692557,152,0.23624595469255663,0.27184466019417475,0.4919093851132686
122,55005,406,Oak Grove,397,4,3,84,96,2,406,1.0,0.9778325123152709,0.009852216748768473,0.007389162561576354,0.0049261083743842365,226,0.20689655172413793,0.23645320197044334,0.5566502463054187
123,55005,373,Prairie Farm,364,0,7,52,55,2,373,1.0,0.9758713136729222,0.0,0.01876675603217158,0.005361930294906166,266,0.13941018766756033,0.14745308310991956,0.7131367292225201
124,55005,235,Prairie Farm,223,0,2,57,51,10,235,1.0,0.948936170212766,0.0,0.00851063829787234,0.0425531914893617,127,0.2425531914893617,0.2170212765957447,0.5404255319148936
