,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
67,Worcester,2723,Worcester Precinct 03-003,2418,159,73,30,9,44,73,2723,1,0.8879911861917004,0.05839147998531032,0.026808666911494677,0.026808666911494677,2640,0.011017260374586852,0.0033051781123760557,0.016158648549394052,0.969518912963643
68,Worcester,1802,Worcester Precinct 06-002,1664,82,35,12,1,17,21,1802,1,0.9234184239733629,0.04550499445061043,0.019422863485016647,0.011653718091009988,1772,0.006659267480577136,0.0005549389567147614,0.009433962264150943,0.9833518312985572
69,Worcester,2430,Worcester Precinct 05-002,2271,66,55,91,15,124,38,2430,1,0.9345679012345679,0.027160493827160494,0.02263374485596708,0.015637860082304528,2200,0.037448559670781895,0.006172839506172839,0.05102880658436214,0.9053497942386831
70,Worcester,4184,Worcester Precinct 05-001,3965,88,61,115,16,95,70,4184,1,0.9476577437858509,0.021032504780114723,0.014579349904397706,0.016730401529636712,3958,0.02748565965583174,0.0038240917782026767,0.022705544933078393,0.9459847036328872
71,Worcester,1964,Worcester Precinct 03-001,1858,17,51,67,14,86,38,1964,1,0.9460285132382892,0.008655804480651732,0.025967413441955193,0.019348268839103868,1797,0.03411405295315682,0.007128309572301426,0.04378818737270876,0.914969450101833
72,Worcester,2243,Worcester Precinct 06-001,2142,34,29,103,23,136,38,2243,1,0.9549710209540794,0.015158270173874276,0.012929112795363353,0.016941596076683014,1981,0.04592064199732501,0.010254123941150245,0.0606330806954971,0.8831921533660276
73,Worcester,1917,Worcester Precinct 06-003,1754,100,29,31,7,52,34,1917,1,0.9149713093375065,0.05216484089723526,0.015127803860198226,0.01773604590505999,1827,0.01617110067814293,0.0036515388628064684,0.027125717266562335,0.9530516431924883
311,Kent,703,Kent Precinct 03-002,547,128,14,39,8,41,14,703,1,0.7780938833570412,0.18207681365576103,0.01991465149359886,0.01991465149359886,615,0.05547652916073969,0.011379800853485065,0.05832147937411095,0.8748221906116643
322,Cecil,3106,Cecil Precinct 08-001,2998,41,21,48,16,55,46,3106,1,0.9652285898261429,0.013200257566001287,0.006761107533805538,0.014810045074050225,2987,0.015453960077269801,0.0051513200257566,0.017707662588538314,0.9616870573084353
323,Cecil,2976,Cecil Precinct 07-001,2676,169,64,73,21,95,67,2976,1,0.8991935483870968,0.05678763440860215,0.021505376344086023,0.022513440860215055,2787,0.024529569892473117,0.007056451612903226,0.03192204301075269,0.936491935483871
