,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
79,Montgomery,1806,Montgomery Precinct 04-034,1249,126,158,161,3,273,1806,1,0.6915836101882613,0.06976744186046512,0.08748615725359911,0.1511627906976744,1642,0.08914728682170543,0.0016611295681063123,0.9091915836101883
80,Montgomery,2832,Montgomery Precinct 13-043,911,192,1240,73,12,489,2832,1,0.321680790960452,0.06779661016949153,0.4378531073446328,0.17266949152542374,2747,0.02577683615819209,0.00423728813559322,0.9699858757062146
81,Montgomery,2301,Montgomery Precinct 13-045,911,211,756,113,8,423,2301,1,0.3959148196436332,0.09169926119078661,0.3285528031290743,0.18383311603650587,2180,0.049109083007388095,0.003476749239461104,0.9474141677531508
82,Montgomery,4265,Montgomery Precinct 13-036,1040,440,1881,102,9,904,4265,1,0.24384525205158264,0.10316529894490035,0.441031652989449,0.211957796014068,4154,0.02391559202813599,0.0021101992966002345,0.9739742086752637
83,Montgomery,3162,Montgomery Precinct 13-037,1002,276,1409,101,7,475,3162,1,0.31688804554079697,0.0872865275142315,0.44560404807084125,0.15022137887413028,3054,0.03194180898165718,0.002213788741302973,0.9658444022770398
84,Montgomery,3854,Montgomery Precinct 13-035,962,457,1733,113,16,702,3854,1,0.24961079398028022,0.11857810067462377,0.4496626881162429,0.18214841722885314,3725,0.029320186818889465,0.0041515308770108976,0.9665282823040996
85,Montgomery,5497,Montgomery Precinct 13-064,833,2253,1847,93,49,564,5497,1,0.15153720211024194,0.40985992359468804,0.33600145533927595,0.10260141895579407,5355,0.016918319083136256,0.00891395306530835,0.9741677278515554
86,Montgomery,2249,Montgomery Precinct 13-052,1568,153,273,208,5,255,2249,1,0.6971987550022232,0.06803023566029347,0.12138728323699421,0.11338372610048911,2036,0.09248554913294797,0.0022232103156958646,0.9052912405513561
87,Montgomery,2706,Montgomery Precinct 08-003,2131,125,127,261,8,323,2706,1,0.7875092387287509,0.046193643754619367,0.04693274205469328,0.11936437546193644,2437,0.09645232815964523,0.0029563932002956393,0.9005912786400592
88,Montgomery,2330,Montgomery Precinct 13-046,1386,209,414,156,14,321,2330,1,0.5948497854077254,0.08969957081545064,0.17768240343347638,0.13776824034334764,2160,0.06695278969957082,0.006008583690987125,0.927038626609442
89,Montgomery,1337,Montgomery Precinct 08-004,1020,77,72,63,5,168,1337,1,0.762902019446522,0.05759162303664921,0.05385190725504862,0.1256544502617801,1269,0.04712041884816754,0.0037397157816005983,0.9491398653702319
90,Montgomery,2775,Montgomery Precinct 08-008,1990,217,170,123,13,398,2775,1,0.7171171171171171,0.0781981981981982,0.06126126126126126,0.14342342342342343,2639,0.04432432432432432,0.0046846846846846845,0.9509909909909909
91,Montgomery,3472,Montgomery Precinct 08-009,2306,348,411,169,19,407,3472,1,0.6641705069124424,0.10023041474654378,0.11837557603686635,0.11722350230414746,3284,0.04867511520737327,0.005472350230414746,0.945852534562212
92,Montgomery,3315,Montgomery Precinct 08-001,2336,356,270,166,16,353,3315,1,0.7046757164404224,0.10739064856711915,0.08144796380090498,0.10648567119155354,3133,0.05007541478129714,0.0048265460030165915,0.9450980392156862
93,Montgomery,2576,Montgomery Precinct 08-012,1661,311,153,85,9,451,2576,1,0.6447981366459627,0.12072981366459627,0.0593944099378882,0.1750776397515528,2482,0.03299689440993789,0.0034937888198757765,0.9635093167701864
94,Montgomery,2565,Montgomery Precinct 08-005,2188,142,117,148,8,118,2565,1,0.8530214424951267,0.055360623781676416,0.0456140350877193,0.04600389863547758,2409,0.05769980506822612,0.0031189083820662767,0.9391812865497076
95,Montgomery,3510,Montgomery Precinct 01-002,2324,496,378,216,18,312,3510,1,0.6621082621082621,0.1413105413105413,0.1076923076923077,0.08888888888888889,3276,0.06153846153846154,0.005128205128205128,0.9333333333333333
96,Montgomery,3657,Montgomery Precinct 12-003,2956,189,252,121,3,260,3657,1,0.8083128247197157,0.051681706316652996,0.06890894175553733,0.07109652720809406,3533,0.0330872299699207,0.0008203445447087777,0.9660924254853706
97,Montgomery,2213,Montgomery Precinct 12-001,1875,77,195,65,1,66,2213,1,0.8472661545413466,0.034794396746497966,0.08811568007230004,0.0298237686398554,2147,0.02937189335743335,0.00045187528242205153,0.9701762313601446
98,Montgomery,2541,Montgomery Precinct 01-001,2052,172,149,89,4,168,2541,1,0.807556080283353,0.06768988587170405,0.05863833136560409,0.06611570247933884,2448,0.03502558048012593,0.0015741833923652105,0.9634002361275088
99,Howard,1720,Howard Precinct 04-003,1518,65,36,79,6,101,1720,1,0.8825581395348837,0.0377906976744186,0.020930232558139535,0.05872093023255814,1635,0.045930232558139536,0.0034883720930232558,0.9505813953488372
100,Frederick,3630,Frederick Precinct 14-001,3427,67,63,170,6,73,3630,1,0.9440771349862259,0.018457300275482095,0.017355371900826446,0.020110192837465565,3454,0.046831955922865015,0.001652892561983471,0.9515151515151515
101,Frederick,2062,Frederick Precinct 03-001,1930,31,47,67,1,54,2062,1,0.9359844810863239,0.015033947623666343,0.02279340446168768,0.026188166828322017,1994,0.03249272550921436,0.00048496605237633366,0.9670223084384093
102,Frederick,4117,Frederick Precinct 23-001,3207,344,306,146,11,260,4117,1,0.7789652659703667,0.08355598736944377,0.07432596550886568,0.06315278115132378,3960,0.035462715569589506,0.002671848433325237,0.9618654359970853
103,Frederick,674,Frederick Precinct 24-003,646,4,13,55,0,11,674,1,0.9584569732937686,0.005934718100890208,0.019287833827893175,0.016320474777448073,619,0.08160237388724036,0.0,0.9183976261127597
104,Frederick,2134,Frederick Precinct 03-003,1924,47,67,82,2,96,2134,1,0.901593252108716,0.022024367385192128,0.03139643861293346,0.04498594189315839,2050,0.038425492033739454,0.0009372071227741331,0.9606373008434864
105,Frederick,1667,Frederick Precinct 24-001,1533,23,54,112,4,57,1667,1,0.9196160767846431,0.013797240551889621,0.03239352129574085,0.03419316136772645,1551,0.06718656268746251,0.0023995200959808036,0.9304139172165566
106,Frederick,3265,Frederick Precinct 02-015,2683,296,133,211,5,153,3265,1,0.8217457886676875,0.09065849923430322,0.040735068912710566,0.046860643185298624,3049,0.06462480857580398,0.0015313935681470138,0.933843797856049
107,Frederick,3578,Frederick Precinct 26-001,3149,181,130,174,2,118,3578,1,0.8801006148686417,0.05058692006707658,0.03633314700950251,0.03297931805477921,3402,0.048630519843487985,0.0005589714924538849,0.9508105086640581
108,Washington,2005,Washington Precinct 07-002,1820,74,68,66,7,43,2005,1,0.9077306733167082,0.03690773067331671,0.03391521197007481,0.02144638403990025,1932,0.03291770573566085,0.003491271820448878,0.9635910224438903
109,Washington,2584,Washington Precinct 07-001,2474,27,53,75,3,30,2584,1,0.9574303405572755,0.01044891640866873,0.020510835913312694,0.011609907120743035,2506,0.029024767801857584,0.0011609907120743034,0.9698142414860681
110,Washington,883,Washington Precinct 14-001,858,4,13,21,0,8,883,1,0.9716874292185731,0.004530011325028313,0.014722536806342015,0.009060022650056626,862,0.02378255945639864,0.0,0.9762174405436014
111,Washington,1184,Washington Precinct 14-002,1120,27,11,29,0,26,1184,1,0.9459459459459459,0.022804054054054054,0.009290540540540541,0.02195945945945946,1155,0.024493243243243243,0.0,0.9755067567567568
112,Frederick,1799,Frederick Precinct 10-001,1737,20,29,47,0,13,1799,1,0.9655364091161757,0.011117287381878822,0.016120066703724293,0.007226236798221234,1752,0.02612562534741523,0.0,0.9738743746525848
113,Frederick,2997,Frederick Precinct 15-001,2874,33,39,110,2,51,2997,1,0.958958958958959,0.011011011011011011,0.013013013013013013,0.01701701701701702,2885,0.03670337003670337,0.000667334000667334,0.9626292959626293
114,Frederick,3794,Frederick Precinct 15-002,3627,24,72,88,6,71,3794,1,0.955983131259884,0.0063257775434897206,0.018977332630469163,0.01871375856615709,3700,0.02319451765946231,0.0015814443858724301,0.9752240379546653
115,Frederick,1007,Frederick Precinct 04-001,964,3,19,23,3,21,1007,1,0.9572989076464746,0.0029791459781529296,0.018867924528301886,0.020854021847070508,981,0.022840119165839126,0.0029791459781529296,0.974180734856008
116,Frederick,4025,Frederick Precinct 07-002,2268,408,411,140,12,938,4025,1,0.5634782608695652,0.1013664596273292,0.10211180124223602,0.23304347826086957,3873,0.034782608695652174,0.0029813664596273293,0.9622360248447205
117,Frederick,2425,Frederick Precinct 09-001,2177,79,73,98,2,96,2425,1,0.8977319587628866,0.03257731958762886,0.030103092783505155,0.03958762886597938,2325,0.04041237113402062,0.0008247422680412372,0.9587628865979382
118,Frederick,2868,Frederick Precinct 09-006,2447,162,114,136,3,145,2868,1,0.8532078103207811,0.056485355648535567,0.0397489539748954,0.050557880055788006,2729,0.04741980474198047,0.0010460251046025104,0.951534170153417
119,Frederick,3752,Frederick Precinct 13-001,3415,115,119,159,6,103,3752,1,0.910181236673774,0.030650319829424306,0.03171641791044776,0.027452025586353946,3587,0.0423773987206823,0.0015991471215351812,0.9560234541577826
120,Frederick,3625,Frederick Precinct 09-007,3267,86,156,160,5,116,3625,1,0.9012413793103449,0.02372413793103448,0.04303448275862069,0.032,3460,0.044137931034482755,0.001379310344827586,0.9544827586206897
121,Frederick,3137,Frederick Precinct 09-004,2926,42,96,115,4,73,3137,1,0.932738284985655,0.0133885878227606,0.030602486452024225,0.02327064073956009,3018,0.036659228562320685,0.001275103602167676,0.9620656678355116
122,Frederick,3312,Frederick Precinct 09-002,3071,42,99,124,3,100,3312,1,0.9272342995169082,0.012681159420289856,0.029891304347826088,0.030193236714975844,3185,0.03743961352657005,0.0009057971014492754,0.9616545893719807
123,Frederick,1427,Frederick Precinct 09-005,1331,21,38,56,5,37,1427,1,0.9327259985984583,0.014716187806587245,0.026629292221443588,0.02592852137351086,1366,0.039243167484232656,0.00350385423966363,0.9572529782761037
