Precinct,ANNISSA ESSAIBI GEORGE,RICHARD A SPAGNUOLO,ANDREA JOY CAMPBELL,KIM M JANEY,MICHELLE WU,JON SANTIAGO,ROBERT CAPPUCCI,JOHN F BARROS,Total Votes,Unresolved Write-In
"WARD 20, PRECINCT 13",246.0,0.0,59.0,34.0,161.0,0.0,6.0,7.0,513.0,0.0
"WARD 20, PRECINCT 14",293.0,0.0,66.0,18.0,143.0,1.0,17.0,16.0,554.0,0.0
"WARD 20, PRECINCT 15",324.0,0.0,53.0,46.0,205.0,1.0,14.0,19.0,662.0,0.0
"WARD 20, PRECINCT 16",401.0,1.0,70.0,62.0,213.0,2.0,15.0,18.0,783.0,1.0
"WARD 20, PRECINCT 17",458.0,0.0,136.0,42.0,256.0,1.0,15.0,24.0,932.0,0.0
"WARD 20, PRECINCT 18",192.0,0.0,94.0,36.0,147.0,2.0,6.0,7.0,485.0,1.0
"WARD 20, PRECINCT 19",267.0,1.0,80.0,11.0,125.0,0.0,4.0,15.0,503.0,0.0
"WARD 20, PRECINCT 2",144.0,1.0,137.0,52.0,325.0,0.0,1.0,13.0,673.0,0.0
"WARD 20, PRECINCT 20",280.0,0.0,94.0,55.0,244.0,3.0,17.0,23.0,716.0,0.0
"WARD 20, PRECINCT 3",236.0,1.0,51.0,69.0,183.0,1.0,21.0,4.0,567.0,1.0
"WARD 20, PRECINCT 4",63.0,0.0,166.0,50.0,321.0,1.0,4.0,8.0,613.0,0.0
"WARD 20, PRECINCT 5",367.0,8.0,75.0,53.0,216.0,0.0,14.0,16.0,751.0,2.0
"WARD 20, PRECINCT 6",315.0,0.0,146.0,56.0,315.0,2.0,16.0,16.0,868.0,2.0
"WARD 20, PRECINCT 7",185.0,2.0,115.0,26.0,188.0,0.0,14.0,7.0,537.0,0.0
"WARD 20, PRECINCT 8",126.0,0.0,102.0,28.0,220.0,0.0,9.0,5.0,490.0,0.0
"WARD 20, PRECINCT 9",167.0,0.0,85.0,41.0,264.0,0.0,8.0,10.0,576.0,1.0
"WARD 21, PRECINCT 1",39.0,2.0,59.0,25.0,150.0,1.0,1.0,9.0,286.0,0.0
"WARD 21, PRECINCT 10",18.0,2.0,32.0,47.0,130.0,0.0,4.0,7.0,240.0,0.0
"WARD 21, PRECINCT 11",25.0,0.0,54.0,29.0,178.0,1.0,5.0,7.0,300.0,1.0
"WARD 21, PRECINCT 12",43.0,1.0,67.0,75.0,107.0,0.0,14.0,5.0,312.0,0.0
