,COUNTYFP20,VAP,Precinct,WVAP,BVAP,HVAP,BMAY21PAG,BMAY21PAC,BMAY21PKJ,BMAY21PMW,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,BMAY21PNone,BMAY21PAG_pct,BMAY21PAC_pct,BMAY21PKJ_pct,BMAY21PMW_pct,BMAY21PNone_pct
1237,025,3848,"WARD 22, PRECINCT 1",2011,234,529,71,64,37,187,1074,3848,1,0.5226091476091476,0.060810810810810814,0.13747401247401247,0.2791060291060291,3489,0.018451143451143452,0.016632016632016633,0.009615384615384616,0.0485966735966736,0.9067047817047817
1238,025,7203,"WARD 3, PRECINCT 6",5319,292,427,205,222,117,506,1165,7203,1,0.738442315701791,0.040538664445369986,0.05928085519922255,0.16173816465361654,6153,0.028460363737331667,0.030820491461890878,0.01624323198667222,0.07024850756629182,0.8542274052478134
1239,025,2441,"WARD 21, PRECINCT 7",1155,207,386,27,54,31,146,693,2441,1,0.4731667349446948,0.08480131093814011,0.15813191315034822,0.28390004096681687,2183,0.01106104055714871,0.02212208111429742,0.012699713232281851,0.05981155264235969,0.8943056124539124
1240,025,2141,"WARD 21, PRECINCT 10",1254,176,261,18,32,47,130,450,2141,1,0.5857076132648296,0.08220457730032694,0.1219056515646894,0.21018215787015412,1914,0.008407286314806165,0.014946286781877626,0.021952358710882764,0.06071929005137786,0.8939747781410555
1241,025,5437,"WARD 9, PRECINCT 4",1737,966,1146,12,48,149,106,1588,5437,1,0.31947765311752807,0.17767151002391024,0.2107780025749494,0.2920728342836123,5122,0.002207099503402612,0.008828398013610447,0.027404818833915764,0.01949604561338974,0.9420636380356815
1242,025,2235,"WARD 20, PRECINCT 16",1615,151,226,401,70,62,213,243,2235,1,0.7225950782997763,0.06756152125279642,0.10111856823266219,0.1087248322147651,1489,0.17941834451901567,0.03131991051454139,0.02774049217002237,0.0953020134228188,0.6662192393736018
1243,025,1442,"WARD 14, PRECINCT 8",98,1003,245,23,92,143,49,96,1442,1,0.06796116504854369,0.6955617198335645,0.16990291262135923,0.06657420249653259,1135,0.0159500693481276,0.0638002773925104,0.09916782246879334,0.03398058252427184,0.7871012482662968
1244,025,2949,"WARD 18, PRECINCT 19",792,1339,595,206,124,223,186,223,2949,1,0.2685656154628688,0.4540522210918956,0.20176330959647337,0.0756188538487623,2210,0.06985418786029163,0.0420481519159037,0.0756188538487623,0.06307222787385554,0.7494065785011869
1245,025,4203,"WARD 8, PRECINCT 2",2076,777,616,62,225,107,194,734,4203,1,0.4939329050678087,0.18486795146324053,0.14656197953842492,0.1746371639305258,3615,0.014751368070425886,0.05353319057815846,0.025458006186057577,0.046157506542945516,0.8600999286224126
1246,025,2754,"WARD 18, PRECINCT 20",1257,729,475,373,61,120,171,293,2754,1,0.4564270152505447,0.2647058823529412,0.17247639796659406,0.10639070442992012,2029,0.135439360929557,0.02214960058097313,0.04357298474945534,0.06209150326797386,0.7367465504720406
